battle_slug,side,casualties_low,casualties_high,confidence,source_slug
1842_retreat_from_kabul_b,Empire britannique,16600,16600,medium,
1939_1940_winter_offensive_b,Empire of Japan,20000,20000,medium,
1939_1940_winter_offensive_b,Republic of China,64432,64432,medium,
1939_invasion_of_poland_b,Germany,59000,59000,medium,
1939_invasion_of_poland_b,Poland,874700,874700,medium,
1975_spring_offensive_b,North Vietnam,23999,23999,medium,
1975_spring_offensive_b,South Vietnam,30000,30000,medium,
1986_united_states_bombing_of_libya_b,États-Unis,111,111,medium,
2003_invasion_of_iraq_b,Iraq,11000,45000,medium,
2008_2009_battle_of_kilinochchi_b,Sri Lanka,1000,1000,medium,
2011_military_intervention_in_libya_b,Libyan Arab Jamahiriya,1000,1000,medium,
2015_2016_latakia_offensive_b,Syrian Arab Republic,2016,2016,medium,
2016_sirte_offensive_b,Government of National Accord,4000,4000,medium,
2016_sirte_offensive_b,Islamic State,2500,2500,medium,
2017_hawija_offensive_b,Islamic State of Iraq and the Levant,1000,1000,medium,
2020_2021_us_troop_withdrawal_from_afghanistan_b,NATO,2021,2021,medium,
2021_taliban_offensive_b,Islamic Republic of Afghanistan,1537,1537,medium,
2021_taliban_offensive_b,Taliban,9819,9819,medium,
2022_kharkiv_counteroffensive_b,Russia,1500,1500,medium,
2022_kherson_counteroffensive_b,Russia,1200,1360,medium,
2022_kherson_counteroffensive_b,Ukraine,9500,9500,medium,
2023_homs_drone_strike_b,République arabe syrienne,129,277,medium,
2024_syrian_opposition_offensives_b,Syrian opposition,1000,1000,medium,
2025_india_pakistan_conflict_b,Inde,400,400,medium,
action_at_bronkhorstspruit_b,Royaume-Uni,156,156,medium,
action_of_12_december_1779_b,Reino Unido,337,337,medium,
action_of_13_january_1797_b,République française,103,500,medium,
action_of_13_january_1797_b,Royaume de Grande-Bretagne,250,250,medium,
action_of_14_september_1779_b,España,180,180,medium,
action_of_18_october_1782_b,Royaume de France,550,550,medium,
action_of_19_january_1799_b,Великобритания,120,120,medium,
action_of_22_september_1914_b,United Kingdom,1459,1459,medium,
action_of_23_april_1794_b,République française,100,100,medium,
action_of_31_march_1800_b,Reino Unido,128,200,medium,
action_of_6_may_1801_b,Royaume d'Espagne,263,263,medium,
action_of_6_november_1772_b,Empire ottoman,200,200,medium,
action_of_8_september_1796_b,Repubblica Francese,104,104,medium,
admirable_campaign_b,Empire espagnol,6000,6000,medium,
al_hawl_offensive_b,État islamique,112,493,medium,
al_jawf_offensive_b,Cabinet of Yemen,1200,1200,medium,
aland_offensive_b,Sweden,1750,1750,medium,
alhucemas_landing_b,Spain,2336,2336,medium,
allied_intervention_in_the_russian_civil_war_b,Allied Powers,4112,4112,medium,
allied_invasion_of_italy_b,Germany,3500,3500,medium,
allied_invasion_of_italy_b,United Kingdom,2009,2009,medium,
allied_invasion_of_sicily_b,Italy,4678,4678,medium,
