slug,source_type,title,url
064-2-1966,monograph,戦史叢書第064巻　昭和二十年の支那派遣軍＜2＞終戦まで,
090-3-1966,monograph,戦史叢書第090巻　支那事変陸軍作戦＜3＞昭和十六年十二月まで,
1,monograph,Кавказская война. Том 1. От древнейших времен до Ермолова,https://statehistory.ru/books/Kavkazskaya-voyna--Tom-1--Ot-drevneyshikh-vremen-do-Ermolova/9
1-1966,monograph,一号作戦(1)河南の会戦,
1-1975,monograph,支那事変陸軍作戦.1 （昭和十三年一月まで）,https://www.amazon.com/dp/B000J9D6BC
102-days-of-war-how-osama-bin-laden-al-qaeda-the-taliban-survived-2001-2014,monograph,"102 Days of War: How Osama bin Laden, al Qaeda & the Taliban Survived 2001",https://www.amazon.com/102-Days-War-Yaniv-Barzilai-ebook/dp/B00IANJWM6/ref=tmm_kin_swatch_0?_encoding=UTF8&qid=&sr=
1722-1803-ii-1869,monograph,"Материалы для новой истории Кавказа, с 1722 по 1803 год. Части II",https://archive.org/details/materialy_dlya_novoy_istorii_kavkaza_s_1722_po_1803_god_parts_1_3/materialy_dlya_novoy_istorii_kavkaza_s_1722_po_1803_god_part_2/page/n155/mode/2up
1756-1906-1906,monograph,История Лейб-Гвардии Гренадерского полка. 1756-1906,
17821912-1912,monograph,Граф И. Ф. Паскевич-Эриванский и его деятельность на Кавказе в очерках армянского историка 1782–1912,http://www.prlib.ru/Lib/pages/item.aspx?itemid=75173
17881790-1869,monograph,Война России со Швецией в 1788–1790 годах,"https://ru.wikipedia.org/wiki/Брикнер,%20Александр%20Густавович"
1789-1793-220-2013,academic_journal,Турбаївське повстання 1789-1793 рр. : 220 роковини супротиву українських селян політиці соціального поневолення,https://enpuir.npu.edu.ua/handle/123456789/16705
17991815-2003,monograph,Наполеоновские войны 1799–1815. Биографический энциклопедический словарь,
18-dead-in-benghazi-clashes-2018,monograph,18 dead in Benghazi clashes,https://www.iol.co.za/news/africa/18-dead-in-benghazi-clashes-1767010
18-wings-over-ogaden-the-ethiopian-somali-war-1978-1979-1978,monograph,18 Wings Over Ogaden The Ethiopian Somali War 1978 1979,http://archive.org/details/18-wings-over-ogaden-the-ethiopian-somali-war-1978-1979
1805-1844,monograph,Описание первой войны императора Александра с Наполеоном в 1805 году,
1806-1856,monograph,Очерк трёхнедельного похода Наполеона против Пруссии в 1806-м году,
18061812-1887,monograph,Война России с Турцией 1806–1812 гг,https://runivers.ru/bookreader/book18599
1807-1990,monograph,Записки графа Л. Л. Беннигсена о войне с Наполеоном 1807 года,
180809-1910,monograph,Русско-шведская война 1808—09 г.г.,
18081814-demografia-y-guerra-en-espana-2004,academic_journal,1808–1814: demografía y guerra en España,http://www.uclm.es/ab/humanidades/profesores/descarga/manuel_ortiz/crisisregimen.pdf
1812-1860,monograph,История Отечественной войны 1812 года по достоверным источникам,https://archive.org/details/istorijaotechestvennojvojny1812godapodo42
1812-eyewitness-accounts-of-napoleons-defeat-in-russia-1966,monograph,1812: Eyewitness Accounts of Napoleon's Defeat in Russia,
1812-napoleons-russian-campaign-1990,academic_journal,1812: Napoleon's Russian campaign,
1812-patriotic-war-of-1812-an-encyclopedia-1812,monograph,Отечественная война 1812 года: Энциклопедия (Patriotic War of 1812: an Encyclopedia),
1812-russias-patriotic-war-2009,academic_journal,1812: Russia's Patriotic War,
1813-1863,monograph,История войны 1813 года за независимость Германии,
1814-1865,monograph,История войны 1814 года во Франции,https://books.google.ru/books/about/Исторія_войны_1814_года.html?id=HcpCAAAAYAAJ&redir_esc=y
1819-1846-1900,monograph,Тенгинский полк на Кавказе 1819 — 1846,
1821-1833-1941,monograph,Ενθυμήματα Στρατιωτικά Της Επαναστάσεως Των Ελλήνων 1821-1833,
1831-1931-1932,monograph,Խորհրդային Հայաստանի բնակչությունը վերջին հարյուրամյակում (1831-1931),http://haygirk.nla.am/upload/1512-1940/1901-1940/hayastani_bnakchutyuny_1932.pdf
1831-suppression-of-the-polish-rebellion-of-1831-1831,monograph,Усмирение Польского восстания в 1831 г. (Suppression of the Polish rebellion of 1831),http://www.rovs.ru/library/mil_b1917/orlov_polska1831.html
1832-1833-1869,monograph,Турция и Египет в 1832 и 1833,https://books.google.kz/books/about/Turt%EF%B8%A0s%EF%B8%A1%C4%ABi%EF%B8%A0a%EF%B8%A1_i_Egipet_v_1832_i.html?id=zRwpAAAAYAAJ&redir_esc=y
1845-1845,monograph,Обзор военных действий на Кавказе в 1845 году,https://viewer.rusneb.ru/ru/rsl01003543087?page=2&view=list
1855-1877,monograph,Война за Кавказом в 1855 г.,
1886-1887-1983,monograph,Българската криза 1886 – 1887. Във: Кратка история на България,
1897-1897,monograph,Ο Ελληνοτουρκικός Πόλεμος του 1897,https://search.worldcat.org/oclc/880458520
1912-1913-1912,monograph,Επίτομη Ιστορία των Βαλκανικών Πολέμων 1912-1913,https://search.worldcat.org/oclc/51846788
1912-1913-1913,monograph,Ο νικηφόρος ελληνοτουρκικός πόλεμος του 1912-1913,https://anemi.lib.uoc.gr/metadata/8/d/1/metadata-9272bd94229998ed96a378ab0f986a22_1270023610.tkl
1912-1913-1987,monograph,Επίτομη Ιστορία των Βαλκανικών Πολέμων 1912-1913,https://search.worldcat.org/oclc/51846788
1912-1913-1989,academic_journal,"България в Балканския съюз срещу Османската Империя, 1912-1913 г.",http://www.promacedonia.org/gm_bw1/gm_4_2.html
1912-1913-1991,monograph,Ιστορία των Βαλκανικών Πολέμων 1912-1913,
19121913-1913,monograph,Ο νικηφόρος ελληνοτουρκικός πόλεμος του 1912–1913,https://anemi.lib.uoc.gr/metadata/8/d/1/metadata-9272bd94229998ed96a378ab0f986a22_1270023610.tkl
19121913-1928,monograph,Войната между България и Турция през 1912–1913 г.,
1913-1941,monograph,Войната между България и другите балкански държави през 1913 г.,
1918-1918,academic_journal,სომეხი ტყვეები 1918 წლის ომის დროს,
1919-1922-1919,monograph,Ἐπίτομος ἱστορία τῆς εἰς Μικράν Ἀσίαν Ἐκστρατείας 1919-1922,
1922-1923-1977,monograph,ΑΙΧΜΑΛΩΤΟΣ ΤΩΝ ΤΟΥΡΚΩΝ (1922-1923),
1930-1821-1932,monograph,"Ιστορία του Ελληνικού Έθνους, από των αρχαιοτάτων χρόνων μέχρι του 1930. Τόμος ΣΤ', Μέρος Α': Από της επαναστάσεως του 1821 μέχρι της τελευταίας περιόδου του αγώνος",
1931-1938-2015,monograph,重探抗戰史（一）：從抗日大戰略的形成到武漢會戰1931-1938,
1937-1945-2012,monograph,抗日战争时期中国人口损失问题研究（1937-1945）,
1937-1945-2023,monograph,分崩離析的陣營：抗戰中的國民政府1937- 1945,
19371943-1946,monograph,中國對日戰事損失之估計 (1937–1943),
1944-the-battle-for-narva-februaryseptember-1944-1984,monograph,"Битва за Нарву, февраль-сентябрь 1944 год (The Battle for Narva, February–September 1944)",
1948-a-history-of-the-first-arab-israeli-war-1948,monograph,1948: A History of the First Arab-Israeli War,
1949-the-first-israelis-1986,monograph,1949. The First Israelis,
1954-la-guerre-commence-en-algerie-1984,monograph,"1954, la guerre commence en Algérie",
19611963-laos-crises-1961,monograph,"1961–1963, Laos Crises",https://static.history.state.gov/frus/frus1961-63v24/ebook/frus1961-63v24.epub
1965-indo-pak-air-war-1965,monograph,1965 Indo-Pak Air War,http://www.bharat-rakshak.com/IAF/History/1965War/index.html
1965-war-role-of-tanks-in-india-pakistan-war-1982,monograph,"1965 war, role of tanks in India-Pakistan war",https://books.google.com/books?id=6DDHAAAAIAAJ
19671970-1967,monograph,من محاضر اجتماعات عبد الناصر العربية والدولية 1967–1970,https://books.google.com/books?id=6OQbAAAAMAAJ&q=%D9%85%D8%B9%D8%B1%D9%83%D8%A9+%D8%B9%D9%85%D8%A7%D9%86+1970+%D8%B3%D8%A8%D8%AA%D9%85%D8%A8%D8%B1
1971-indiapakistan-war-part-vii-the-surrender-1971,academic_journal,"1971 India–Pakistan War, Part VII: The Surrender",http://www.subcontinent.com:80/1971war/surrender.html
1987-1992-2008,monograph,"""პოლიტიკური დაპირისპირებები და ეროვნული ხელისუფლების დამხობა საქართველოში (1987-1992 წ.წ)""",https://georgiacenturyxx.wordpress.com/2012/04/22/პოლიტიკური-დაპირისპირებ
19th-century-music-1995,academic_journal,19th-Century Music,https://doi.org/10.2307%2F746719
1st-corps-high-command-battles-in-the-resistance-war-against-france-and-america-1998,monograph,1st Corps High Command: Battles in the Resistance War against France and America,
2-1941-1942-19411945-6-1961,monograph,Т. 2 : Отражение советским народом вероломного нападения фашистской Германии на СССР : Создание условий для коренного перелома в войне (июнь 1941 г. — ноябрь 1942 г.) // История Великой Отечественной войны Советского Союза. 1941—1945 : [в 6 томах] / ред. П. Н. Поспелов [и др.],
2-1976,monograph,支那事変陸軍作戦＜2＞昭和十四年九月まで,
2-1981,monograph,Документи за борбата на македонскиот народ за самостојност и за национална држава - Том 2,https://books.google.com/books?id=b5wMAAAAIAAJ
20-aout-1955-dans-le-nord-constantinois-un-tournant-dans-la-guerre-dalgerie-2013,monograph,20 août 1955 dans le Nord-Constantinois. Un tournant dans la guerre d'Algérie?,
20-i-e-dua-puluh-tahun-indonesia-merdeka-volume-7-1966,monograph,"20 [ i. e Dua puluh ] tahun Indonesia merdeka, Volume 7",https://books.google.com/books?id=9AE5AQAAIAAJ
20-tahun-indonesia-merdeka-volume-7-1965,monograph,"20 tahun Indonesia merdeka, Volume 7",https://books.google.com/books?id=QtsRAAAAMAAJ
2004-2004,academic_journal,قتال جيش المهدي في الفلوجة 2004 شاهد ترحيب الأهالي وهوسات صباح الجنابي,https://www.youtube.com/watch?v=0f7nnOzzgjM
21-1971,monograph,Ιστορία του 21,
21-april-1820-transcription-of-junta-gubernativa-resolution-to-establish-national-militia-1820,monograph,21 April 1820 transcription of Junta Gubernativa resolution to establish National Militia,
23-2016,monograph,軍事史評論第23期,https://books.google.com/books?id=42Q6DwAAQBAJ&pg=PA130
24-10-1799-1902,monograph,Поход Суворова через Швейцарию 24 Сентября – 10 Октября 1799 года,"https://ru.wikipedia.org/wiki/Мартынов,%20Евгений%20Иванович"
24-august-1904-1904,monograph,24 August 1904,https://search.worldcat.org/oclc/770006305
2426-1812-1812,academic_journal,О потерях Российской армии в сражении при Бородино 24–26 августа 1812 года,
26-27-2001-2001,monograph,"Таҷрибаи таърихии сулҳи Тоҷикистон. Маҷмӯи тезисҳои Симпозиуми байналмиллалӣ. Душанбе, 26-27 апрели соли 2001",
3-1975,monograph,戦史叢書: 支那事変陸軍作戦（3）昭和十六年十二月まで,
3-2005,monograph,广西抗日战争史料选编 第3卷 广西军队和驻桂军队的对日作战,
31328-1931,monograph,Το Νούμερο 31328: Σκλάβοι στα Εργατικά Τάγματα της Ανατολής: Ρομάντσο,
314th-delivers-bridge-to-combat-troops-2010,academic_journal,314th Delivers Bridge to Combat Troops,https://www.littlerock.af.mil/News/story/id/123205122/
34-days-israel-hezbollah-and-the-war-in-lebanon-2008,monograph,"34 Days: Israel, Hezbollah, and the War in Lebanon",
35-mois-de-campagne-en-chine-au-tonkin-1898,monograph,"35 mois de campagne en Chine, au Tonkin",https://hdl.handle.net/2027%2Fmdp.39015021700557
4-1979,monograph,Лермонтов М. Ю. Собрание сочинений: В 4 т,http://feb-web.ru/feb/lermont/texts/lerm04/vol01/l41-451-.htm
4-1981,monograph,Лермонтов М. Ю. Собрание сочинений: В 4 т,http://feb-web.ru/feb/lermont/texts/lerm04/vol04/l44-422-.htm
4-2018,academic_journal,Вестник Волгоградского Государственного Университета. Серия 4: История. Регионоведение. Международные Отношения,https://cyberleninka.ru/article/n/osobennosti-taktiki-vedeniya-boevyh-deystviy-sovetskih-voysk-v-period-stalingradskoy-bitvy
4-ii-iii-38-1894,monograph,"История конницы. Часть 4-я. Отдел II, III. Глава 38",
40-william-mitchell-law-review-1-2013,academic_journal,40 William Mitchell Law Review 1,http://open.mitchellhamline.edu/facsch/260
6070-xviii-2022,monograph,РУССКО-КАБАРДИНСКИЕ ОТНОШЕНИЯ В 60–70-Е ГГ. XVIII В.: ИСТОРИОГРАФИЯ КОНФЛИКТА,https://archive.org/details/60-70-.-xviii-.
7-2007-n-68-federal-law-of-the-russian-federation-dated-may-7-2007-n-68-fz-on-the-banner-of-victory-2007,academic_journal,"Федеральный закон Российской Федерации от 7 мая 2007 г. N 68-ФЗ ""О Знамени Победы"" (Federal Law of the Russian Federation dated May 7, 2007 N 68 -FZ ""On the Banner of Victory"")",http://www.rg.ru/2007/05/08/znamya.html
7-december-1941-the-air-force-story-1991,academic_journal,7 December 1941: The Air Force Story,https://archive.org/details/7December1941TheAirForceStory/7%20December%201941%20The%20Air%20Force%20Story/
77-1974,monograph,黃埔學報第77期,https://books.google.com/books?id=AE0CEAAAQBAJ&dq=%22Kuningtou%22&pg=PA77
84th-infantry-division-in-the-battle-of-germany-november-1944-may-1945-1946,academic_journal,"84th Infantry Division in the Battle of Germany, November 1944 – May 1945",https://archive.org/details/84thInfDivBattleOfGermany/
90-rocznica-bitwy-pod-skoczowem-2009,monograph,90. rocznica bitwy pod Skoczowem,http://www.um.skoczow.pl/media/upload/9/0/90_rocznica_bitwy.pdf
a-batalha-de-piraja-1923,monograph,A batalha de Pirajá,http://200.187.16.144:8080/jspui/bitstream/bv2julho/528/3/BatalhaPiraja.pdf
a-batalha-de-tuiuti-e-uma-licao-de-civismo-1957,academic_journal,A Batalha de Tuiuti e Uma Lição de Civismo,
a-biographical-dictionary-of-the-sudan-1951,monograph,A biographical dictionary of the Sudan,
a-book-of-golden-deeds-of-all-times-and-all-lands-1867,monograph,A Book of Golden Deeds Of all Times and all Lands,http://digital.library.upenn.edu/women/yonge/deeds/crown.html
a-brief-history-of-ancient-and-modern-india-according-to-the-syllabus-prescribed-by-the-calcutta-university-1908,academic_journal,A Brief History of Ancient and Modern India According to the Syllabus Prescribed by the Calcutta University,https://books.google.com/books?id=N3wqAAAAYAAJ
a-brief-history-of-kabarda-from-the-seventh-century-ad,monograph,A Brief History of Kabarda [from the Seventh Century AD],
a-brief-history-of-napoleon-in-russia-2003,monograph,A brief history of Napoleon in Russia,https://archive.org/details/briefhistoryofna0000palm
a-brief-history-of-the-indian-peoples-1907,academic_journal,A Brief History of the Indian Peoples,https://books.google.com/books?id=koUqAAAAYAAJ
a-brief-note-on-the-economic-history-of-ethiopia-from-1800-to-1935-1968,monograph,A Brief Note on the Economic History of Ethiopia from 1800 to 1935,https://search.worldcat.org/oclc/434191
a-british-fusilier-in-revolutionary-boston-1926,monograph,A British Fusilier in Revolutionary Boston,https://archive.org/details/ABritishFusilierInRevolutionaryBoston_392
a-british-rifleman-1986,monograph,A British Rifleman,
a-british-soldiers-story-roger-lambs-narrative-of-the-american-revolution-2004,monograph,A British Soldier's Story: Roger Lamb's narrative of the American Revolution,
a-campanha-do-uruguay-186465-1907,monograph,A Campanha do Uruguay (1864–65),https://archive.org/details/acampanhadourug00bormgoog
a-catholic-in-republican-spain-1937,monograph,A Catholic in republican Spain,
a-century-of-lawmaking-for-a-new-nation-us-congressional-documents-and-debates-17741875-treaty-of-alliance-w-1846,monograph,"A Century of Lawmaking for a New Nation: U.S. Congressional Documents and Debates, 1774–1875: Treaty of Alliance with France 1778, ""Article II""",https://memory.loc.gov/cgi-bin/ampage?collId=llsl&fileName=008/llsl008.db&recNum=21
a-century-of-russian-agriculture-from-alexander-ii-to-khrushchev-1970,monograph,A century of Russian agriculture. From Alexander II to Khrushchev,
a-certain-curve-of-horn-the-hundred-year-quest-for-the-giant-sable-antelope-of-angola-2004,monograph,A Certain Curve of Horn: The Hundred-Year Quest for the Giant Sable Antelope of Angola,
a-chronology-of-european-security-and-defence-19452007-2007,monograph,A Chronology of European Security and Defence 1945–2007,
a-circumstantial-narrative-of-the-campaign-in-russia-1817,monograph,A Circumstantial Narrative of the Campaign in Russia,https://books.google.com/books?id=3DUQAAAAYAAJ
a-clash-of-destinies-the-arab-jewish-war-and-the-founding-of-the-state-of-israel-1960,monograph,A Clash of Destinies. The Arab-Jewish War and the Founding of the State of Israel,https://lccn.loc.gov/60-6996
a-companion-to-world-war-i-2012,monograph,A Companion to World War I,https://books.google.com/books?id=EjZHLXRKjtEC&pg=PA584
a-company-of-heroes-the-american-frontier-17751783-the-frontier-people-of-america-book-2-2018,monograph,A Company of Heroes: The American Frontier: 1775–1783 (The Frontier People of America Book 2),
